reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
76,115,365,0,0,0,t,7.381824458017945,None,0,0,0,99,0.040714125032536685,,0.0341920840437524,0.040714125032536685,0.9968732090201229,0.9968732090201229,1.034608667017892,8.577921459043864,t,7.381824458017945,None,03,001,2025-10-30_00h01.39.911,delay discounting,,2025.1.1,119.98632198593256,2025-10-30 00h01.52.555832 +0530,
11,30,7,1,1,0,l,2.3160844170488417,None,0,1,1,0,8.595811500039417,,8.581123875046615,8.595811500039417,9.584688292001374,9.584688292001374,9.590646833996288,11.903169583994895,l,2.3160844170488417,None,03,001,2025-10-30_00h01.39.911,delay discounting,,2025.1.1,119.98632198593256,2025-10-30 00h01.52.555832 +0530,
5,58,150,2,2,0,l,2.2567152510164306,None,0,2,2,73,11.922327084001154,,11.91323183401255,11.922327084001154,12.893218042037915,12.893218042037915,12.918451125035062,15.153351542016026,l,2.2567152510164306,None,03,001,2025-10-30_00h01.39.911,delay discounting,,2025.1.1,119.98632198593256,2025-10-30 00h01.52.555832 +0530,
53,75,90,3,3,0,t,1.850727000972256,None,0,3,3,66,15.185613042034674,,15.162451750016771,15.185613042034674,16.151156292005908,16.151156292005908,16.174935500021093,18.009871584014036,t,1.850727000972256,None,03,001,2025-10-30_00h01.39.911,delay discounting,,2025.1.1,119.98632198593256,2025-10-30 00h01.52.555832 +0530,
86,123,14,4,4,0,l,3.103394874953665,None,0,4,4,45,18.02891879202798,,18.020209459005855,18.02891879202798,19.001468042028137,19.001468042028137,19.02471870899899,22.109841500001494,l,3.103394874953665,None,03,001,2025-10-30_00h01.39.911,delay discounting,,2025.1.1,119.98632198593256,2025-10-30 00h01.52.555832 +0530,
16,34,270,5,5,0,t,1.4734241670230404,None,0,5,5,86,22.12521954200929,,22.11711520899553,22.12521954200929,23.10150133399293,23.10150133399293,23.118704541993793,24.577133334008977,t,1.4734241670230404,None,03,001,2025-10-30_00h01.39.911,delay discounting,,2025.1.1,119.98632198593256,2025-10-30 00h01.52.555832 +0530,
51,92,3,6,6,0,l,1.5485998750082217,None,0,6,6,16,24.591763459029607,,24.5839674170129,24.591763459029607,25.577403250033967,25.577403250033967,25.584961209038738,27.13685654202709,l,1.5485998750082217,None,03,001,2025-10-30_00h01.39.911,delay discounting,,2025.1.1,119.98632198593256,2025-10-30 00h01.52.555832 +0530,
61,99,5,7,7,0,l,1.4439295420306735,None,0,7,7,27,27.152879750006832,,27.143953042046633,27.152879750006832,28.13496783404844,28.13496783404844,28.15190104203066,29.586732709023636,l,1.4439295420306735,None,03,001,2025-10-30_00h01.39.911,delay discounting,,2025.1.1,119.98632198593256,2025-10-30 00h01.52.555832 +0530,
72,77,60,8,8,0,t,1.4918762510060333,None,0,8,8,63,29.602391291991808,,29.59294983401196,29.602391291991808,30.585054334020242,30.585054334020242,30.591833292040974,32.08707729203161,t,1.4918762510060333,None,03,001,2025-10-30_00h01.39.911,delay discounting,,2025.1.1,119.98632198593256,2025-10-30 00h01.52.555832 +0530,
45,53,365,9,9,0,t,1.2559727919870056,None,0,9,9,98,32.10326108400477,,32.09376954199979,32.10326108400477,33.08514770900365,33.08514770900365,33.1020809590118,34.34473458403954,t,1.2559727919870056,None,03,001,2025-10-30_00h01.39.911,delay discounting,,2025.1.1,119.98632198593256,2025-10-30 00h01.52.555832 +0530,
26,47,274,10,10,0,t,2.1660297919879667,None,0,10,10,88,34.35973816702608,,34.35140562499873,34.35973816702608,35.34394587500719,35.34394587500719,35.35183387500001,37.52055854204809,t,2.1660297919879667,None,03,001,2025-10-30_00h01.39.911,delay discounting,,2025.1.1,119.98632198593256,2025-10-30 00h01.52.555832 +0530,
32,71,365,11,11,0,t,1.3263481250032783,None,0,11,11,97,37.53650541702518,,37.52770158404019,37.53650541702518,38.518756750039756,38.518756750039756,38.535983167006634,39.85442820901517,t,1.3263481250032783,None,03,001,2025-10-30_00h01.39.911,delay discounting,,2025.1.1,119.98632198593256,2025-10-30 00h01.52.555832 +0530,
15,46,365,12,12,0,t,1.4330771670211107,None,0,12,12,96,39.87067970901262,,39.86179591703694,39.87067970901262,40.85209366702475,40.85209366702475,40.86939241702203,42.28774604201317,t,1.4330771670211107,None,03,001,2025-10-30_00h01.39.911,delay discounting,,2025.1.1,119.98632198593256,2025-10-30 00h01.52.555832 +0530,
80,99,3,13,13,0,l,1.585595624987036,None,0,13,13,18,42.30352387501625,,42.29469208401861,42.30352387501625,43.28547595901182,43.28547595901182,43.30274662503507,44.88866470899666,l,1.585595624987036,None,03,001,2025-10-30_00h01.39.911,delay discounting,,2025.1.1,119.98632198593256,2025-10-30 00h01.52.555832 +0530,
86,98,30,14,14,0,t,1.581691832980141,None,0,14,14,57,44.90478737500962,,44.89619295904413,44.90478737500962,45.88560316700023,45.88560316700023,45.90294216701295,47.47106704203179,t,1.581691832980141,None,03,001,2025-10-30_00h01.39.911,delay discounting,,2025.1.1,119.98632198593256,2025-10-30 00h01.52.555832 +0530,
