thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,instructions.stopped,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,thankyou.started,text_2.started,text_2.stopped,thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.004505124990828335,0.009815582990995608,2.0013722500007134,,,,,,,,,,,,,,,,,,004,001,2025-09-27_23h16.44.643,VisualSearch,,2025.1.1,118.97597426778562,2025-09-27 23h16.50.465382 +0530,
0,0,0,[np.float64(-0.2611111111111111)],[np.float64(0.22111111111111112)],[1],[0],[0],[1.354493624996394],['target'],0,0,0,0,2.0561646659916732,,,,,10,2.038902500004042,2.0561646659916732,2.0561646659916732,0.03893433300254401,3.393442165994202,[np.float64(-0.2611111111111111)],[np.float64(0.22111111111111112)],[1],[0],[0],[1.354493624996394],['target'],,,,,004,001,2025-09-27_23h16.44.643,VisualSearch,,2025.1.1,118.97597426778562,2025-09-27 23h16.50.465382 +0530,
1,0,1,[np.float64(0.3411111111111111)],[np.float64(-0.27111111111111114)],[1],[0],[0],[1.5619648339925334],['target'],1,0,1,0,3.4239948750037,,,,,10,3.413568165997276,3.4239948750037,3.4239948750037,0.019931374990846962,4.975580625003204,[np.float64(0.3411111111111111)],[np.float64(-0.27111111111111114)],[1],[0],[0],[1.5619648339925334],['target'],,,,,004,001,2025-09-27_23h16.44.643,VisualSearch,,2025.1.1,118.97597426778562,2025-09-27 23h16.50.465382 +0530,
2,0,2,[np.float64(0.36666666666666664)],[np.float64(0.03222222222222222)],[1],[0],[0],[1.0972703750012442],['target'],2,0,2,0,5.005546999993385,,,,,10,4.9949422079953365,5.005546999993385,5.005546999993385,0.01920599999721162,6.092265832994599,[np.float64(0.36666666666666664)],[np.float64(0.03222222222222222)],[1],[0],[0],[1.0972703750012442],['target'],,,,,004,001,2025-09-27_23h16.44.643,VisualSearch,,2025.1.1,118.97597426778562,2025-09-27 23h16.50.465382 +0530,
3,0,3,[np.float64(-0.39555555555555555)],[np.float64(-0.4111111111111111)],[1],[0],[0],[1.5724901669891551],['target'],3,0,3,0,6.1125329159985995,,,,,5,6.103670415992383,6.1125329159985995,6.1125329159985995,0.011248041992075741,7.676246957998956,[np.float64(-0.39555555555555555)],[np.float64(-0.4111111111111111)],[1],[0],[0],[1.5724901669891551],['target'],,,,,004,001,2025-09-27_23h16.44.643,VisualSearch,,2025.1.1,118.97597426778562,2025-09-27 23h16.50.465382 +0530,
4,0,4,[np.float64(0.08777777777777777)],[np.float64(0.31)],[1],[0],[0],[1.634292083006585],['target'],4,0,4,0,7.701838458000566,,,,,5,7.691641083001741,7.701838458000566,7.701838458000566,0.015192124992609024,9.326007625000784,[np.float64(0.08777777777777777)],[np.float64(0.31)],[1],[0],[0],[1.634292083006585],['target'],,,,,004,001,2025-09-27_23h16.44.643,VisualSearch,,2025.1.1,118.97597426778562,2025-09-27 23h16.50.465382 +0530,
5,0,5,[np.float64(0.1811111111111111)],[np.float64(0.3433333333333333)],[1],[0],[0],[1.6881923749897396],['target'],5,0,5,0,9.367447832992184,,,,,10,9.354305957996985,9.367447832992184,9.367447832992184,0.028085917001590133,11.042542665993096,[np.float64(0.1811111111111111)],[np.float64(0.3433333333333333)],[1],[0],[0],[1.6881923749897396],['target'],,,,,004,001,2025-09-27_23h16.44.643,VisualSearch,,2025.1.1,118.97597426778562,2025-09-27 23h16.50.465382 +0530,
6,0,6,[np.float64(-0.43222222222222223)],[np.float64(0.22555555555555556)],[1],[0],[0],[1.6625760829920182],['target'],6,0,6,0,11.074287124996772,,,,,10,11.063242165997508,11.074287124996772,11.074287124996772,0.020514584000920877,12.725875832999009,[np.float64(-0.43222222222222223)],[np.float64(0.22555555555555556)],[1],[0],[0],[1.6625760829920182],['target'],,,,,004,001,2025-09-27_23h16.44.643,VisualSearch,,2025.1.1,118.97597426778562,2025-09-27 23h16.50.465382 +0530,
7,0,7,[np.float64(-0.14)],[np.float64(0.051111111111111114)],[1],[0],[0],[1.9954473749967292],['target'],7,0,7,0,12.757878874996095,,,,,10,12.747242665995145,12.757878874996095,12.757878874996095,0.021185417004744522,14.742749208002351,[np.float64(-0.14)],[np.float64(0.051111111111111114)],[1],[0],[0],[1.9954473749967292],['target'],,,,,004,001,2025-09-27_23h16.44.643,VisualSearch,,2025.1.1,118.97597426778562,2025-09-27 23h16.50.465382 +0530,
8,0,8,[np.float64(-0.31333333333333335)],[np.float64(0.22666666666666666)],[1],[0],[0],[1.4545546670124168],['target'],8,0,8,0,14.764998250000644,,,,,5,14.755254290997982,14.764998250000644,14.764998250000644,0.012328041993896477,16.209877707995474,[np.float64(-0.31333333333333335)],[np.float64(0.22666666666666666)],[1],[0],[0],[1.4545546670124168],['target'],,,,,004,001,2025-09-27_23h16.44.643,VisualSearch,,2025.1.1,118.97597426778562,2025-09-27 23h16.50.465382 +0530,
