word,colour,stim_condition,correct_resp,stim_wordtype,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,text_2.started,key_resp_2.started,Instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thank_You.started,text_3.started,text_3.stopped,Thank_You.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.0075198749982519075,0.023479208000935614,0.023479208000935614,6.765022833002149,space,6.4763620419980725,None,,,,,,,,,,,,,,,04,001,2025-11-13_13h14.02.560,stroop task,,2025.1.1,None,2025-11-13 13h14.11.577887 +0530,
TREE,green,C,g,N,0,0,0,g,1,0.5762788339998224,None,0,0,0,26,6.802366791998793,,,,,,,,,6.790015457998379,6.802366791998793,7.265529417003563,7.265529417003563,7.265529417003563,7.848250125003688,g,1,0.5762788339998224,None,,,,,04,001,2025-11-13_13h14.02.560,stroop task,,2025.1.1,None,2025-11-13 13h14.11.577887 +0530,
TREE,red,I,r,N,1,1,0,r,1,0.8708740829970338,None,0,1,1,27,7.8584544170007575,,,,,,,,,7.849362166998617,7.8584544170007575,8.347960292005155,8.347960292005155,8.347960292005155,9.224821542004065,r,1,0.8708740829970338,None,,,,,04,001,2025-11-13_13h14.02.560,stroop task,,2025.1.1,None,2025-11-13 13h14.11.577887 +0530,
BUS,yellow,C,y,N,2,2,0,y,1,0.6073590419982793,None,0,2,2,36,9.237714875001984,,,,,,,,,9.230038917005004,9.237714875001984,9.727367958003015,9.727367958003015,9.727367958003015,10.341408208005305,y,1,0.6073590419982793,None,,,,,04,001,2025-11-13_13h14.02.560,stroop task,,2025.1.1,None,2025-11-13 13h14.11.577887 +0530,
SKY,red,I,r,N,3,3,0,r,1,0.9103817499999423,None,0,3,3,21,10.356134958004986,,,,,,,,,10.348545042004844,10.356134958004986,10.839506750002329,10.839506750002329,10.839506750002329,11.758385500004806,r,1,0.9103817499999423,None,,,,,04,001,2025-11-13_13h14.02.560,stroop task,,2025.1.1,None,2025-11-13 13h14.11.577887 +0530,
BUS,green,I,g,N,4,4,0,g,1,1.3327142510024714,None,0,4,4,37,11.770455833000597,,,,,,,,,11.762793292000424,11.770455833000597,12.256281958005275,12.256281958005275,12.256281958005275,13.591487500001676,g,1,1.3327142510024714,None,,,,,04,001,2025-11-13_13h14.02.560,stroop task,,2025.1.1,None,2025-11-13 13h14.11.577887 +0530,
RIVER,blue,C,b,N,5,5,0,b,1,0.5670323759986786,None,0,5,5,28,13.607240792000084,,,,,,,,,13.599451958005375,13.607240792000084,14.089870875002816,14.089870875002816,14.089870875002816,14.65839175000292,b,1,0.5670323759986786,None,,,,,04,001,2025-11-13_13h14.02.560,stroop task,,2025.1.1,None,2025-11-13 13h14.11.577887 +0530,
PEN,yellow,I,y,N,6,6,0,b,0,0.6603817920040456,None,0,6,6,33,14.670158792003349,,,,,,,,,14.663471291998576,14.670158792003349,15.156524707999779,15.156524707999779,15.156524707999779,15.825130167002499,b,0,0.6603817920040456,None,,,,,04,001,2025-11-13_13h14.02.560,stroop task,,2025.1.1,None,2025-11-13 13h14.11.577887 +0530,
DANGER,blue,I,b,E,7,7,0,b,1,1.2507397920053336,None,0,7,7,11,15.854683917001239,,,,,,,,,15.83296308300487,15.854683917001239,16.323192292002204,16.323192292002204,16.323192292002204,17.58089454199944,b,1,1.2507397920053336,None,,,,,04,001,2025-11-13_13h14.02.560,stroop task,,2025.1.1,None,2025-11-13 13h14.11.577887 +0530,
SKY,blue,C,b,N,8,8,0,b,1,0.8592889170031413,None,0,8,8,20,17.592311208005412,,,,,,,,,17.584454750001896,17.592311208005412,18.082664500005194,18.082664500005194,18.082664500005194,18.947908041998744,b,1,0.8592889170031413,None,,,,,04,001,2025-11-13_13h14.02.560,stroop task,,2025.1.1,None,2025-11-13 13h14.11.577887 +0530,
