14.5899 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
14.5942 	EXP 	Created text_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=np.float64(0.05), italic=False, languageStyle='LTR', name='text_3', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Thank you', units='height', win=Window(...), wrapWidth=1)
0.0115 	EXP 	text_2: autoDraw = True
1.0069 	DEBUG 	Read excel file with openpyxl: stroop/cond.xlsx
1.0075 	EXP 	Imported stroop/cond.xlsx as conditions, 4 conditions, 4 params
1.0088 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'word': 'BLUE', 'colour': 'blue', 'stim_condition': 'C', 'correct_resp': 'b', 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
1.0174 	WARNING 	t of last frame was 22.81ms (=1/43)
1.0174 	EXP 	text_2: autoDraw = False
1.0174 	EXP 	text_2: autoDraw = False
1.0174 	EXP 	text: foreColor = <psychopy.colors.Color: blue, alpha=1.0>
1.0174 	EXP 	text: height = np.float64(0.05)
1.0174 	EXP 	text: height = np.float64(0.05)
1.0174 	EXP 	text: height = np.float64(0.05)
1.0174 	EXP 	text: text = 'BLUE'
1.0174 	EXP 	fixation: autoDraw = True
1.4947 	INFO 	Keyboard events cleared
1.4946 	EXP 	fixation: autoDraw = False
1.4946 	EXP 	text: autoDraw = True
2.7104 	EXP 	Device response: <KeyPress from None: t=2.553955457988195, value=b, duration=None>
2.7105 	EXP 	Device response: <KeyPress from None: t=2.553955457988195, value=b, duration=0.07506162498611957>
2.7106 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'word': 'BLUE', 'colour': 'red', 'stim_condition': 'I', 'correct_resp': 'r', 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
2.7132 	DATA 	Keypress: b
2.7170 	WARNING 	t of last frame was 155.67ms (=1/6)
2.7170 	EXP 	fixation: autoDraw = False
2.7170 	EXP 	text: autoDraw = False
2.7170 	EXP 	text: foreColor = <psychopy.colors.Color: red, alpha=1.0>
2.7170 	EXP 	text: text = 'BLUE'
2.7170 	EXP 	fixation: autoDraw = True
3.2016 	INFO 	Keyboard events cleared
3.2015 	EXP 	fixation: autoDraw = False
3.2015 	EXP 	text: autoDraw = True
4.1877 	EXP 	Device response: <KeyPress from None: t=4.183960082940757, value=r, duration=None>
4.1879 	EXP 	New trial (rep=0, index=2): <Trial 2 (2 in rep 0) data={'word': 'RED', 'colour': 'red', 'stim_condition': 'C', 'correct_resp': 'r', 'thisN': 2, 'thisTrialN': 2, 'thisRepN': 0}>
4.1945 	DATA 	Keypress: r
4.1973 	EXP 	fixation: autoDraw = False
4.1973 	EXP 	text: autoDraw = False
4.1973 	EXP 	text: foreColor = <psychopy.colors.Color: red, alpha=1.0>
4.1973 	EXP 	text: height = np.float64(0.05)
4.1973 	EXP 	text: height = np.float64(0.05)
4.1973 	EXP 	text: height = np.float64(0.05)
4.1973 	EXP 	text: text = 'RED'
4.1973 	EXP 	fixation: autoDraw = True
4.2976 	EXP 	Device response: <KeyPress from None: t=4.183960082940757, value=r, duration=0.10840062506031245>
4.6863 	INFO 	Keyboard events cleared
4.6862 	EXP 	fixation: autoDraw = False
4.6862 	EXP 	text: autoDraw = True
6.1146 	EXP 	Device response: <KeyPress from None: t=6.110151041997597, value=r, duration=None>
