word,colour,stim_condition,correct_resp,stim_wordtype,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,text_2.started,key_resp_2.started,Instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thank_You.started,text_3.started,text_3.stopped,Thank_You.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.0046980409970274195,0.012404540997522417,0.012404540997522417,3.1577423330018064,space,2.670130957994843,None,,,,,,,,,,,,,,,03,001,2025-11-13_01h04.31.022,stroop task,,2025.1.1,None,2025-11-13 01h04.37.641457 +0530,
DISGUST,blue,I,b,E,0,0,0,b,1,0.6594701669964707,None,0,0,0,17,3.1885409579990664,,,,,,,,,3.1775258330017095,3.1885409579990664,3.651895290997345,3.651895290997345,3.651895290997345,4.316625749997911,b,1,0.6594701669964707,None,,,,,03,001,2025-11-13_01h04.31.022,stroop task,,2025.1.1,None,2025-11-13 01h04.37.641457 +0530,
GRASS,blue,I,b,N,1,1,0,b,1,1.0040461669996148,None,0,1,1,23,4.3287402499991,,,,,,,,,4.321798915996624,4.3287402499991,4.817616041000292,4.817616041000292,4.817616041000292,5.827610207998077,b,1,1.0040461669996148,None,,,,,03,001,2025-11-13_01h04.31.022,stroop task,,2025.1.1,None,2025-11-13 01h04.37.641457 +0530,
JOY,red,I,r,E,2,2,0,r,1,1.006387250003172,None,0,2,2,5,5.858465915996931,,,,,,,,,5.837074457995186,5.858465915996931,6.328070457995636,6.328070457995636,6.328070457995636,7.344071665997035,r,1,1.006387250003172,None,,,,,03,001,2025-11-13_01h04.31.022,stroop task,,2025.1.1,None,2025-11-13 01h04.37.641457 +0530,
PEACE,red,I,r,E,3,3,0,r,1,1.0807067080022534,None,0,3,3,3,7.357293707995268,,,,,,,,,7.3492761660018004,7.357293707995268,7.842079665999336,7.842079665999336,7.842079665999336,8.927720749998116,r,1,1.0807067080022534,None,,,,,03,001,2025-11-13_01h04.31.022,stroop task,,2025.1.1,None,2025-11-13 01h04.37.641457 +0530,
SAFETY,yellow,I,r,E,4,4,0,g,0,1.1491130409995094,None,0,4,4,13,8.944647457996325,,,,,,,,,8.936178083000414,8.944647457996325,9.425467082997784,9.425467082997784,9.425467082997784,10.577342874996248,g,0,1.1491130409995094,None,,,,,03,001,2025-11-13_01h04.31.022,stroop task,,2025.1.1,None,2025-11-13 01h04.37.641457 +0530,
HAPPINESS,green,I,g,E,5,5,0,g,1,1.12419791600405,None,0,5,5,15,10.59399979099544,,,,,,,,,10.586237290997815,10.59399979099544,11.075464082998224,11.075464082998224,11.075464082998224,12.210968332998164,g,1,1.12419791600405,None,,,,,03,001,2025-11-13_01h04.31.022,stroop task,,2025.1.1,None,2025-11-13 01h04.37.641457 +0530,
PEN,blue,C,b,N,6,6,0,b,1,0.7285518330027116,None,0,6,6,32,12.222809416001837,,,,,,,,,12.215265665996412,12.222809416001837,12.709082249995845,12.709082249995845,12.709082249995845,13.444335708001745,b,1,0.7285518330027116,None,,,,,03,001,2025-11-13_01h04.31.022,stroop task,,2025.1.1,None,2025-11-13 01h04.37.641457 +0530,
SAFETY,green,C,g,E,7,7,0,g,1,0.8984417499959818,None,0,7,7,12,13.457317125001282,,,,,,,,,13.449397124997631,13.457317125001282,13.94223433300067,13.94223433300067,13.94223433300067,14.844190249998064,g,1,0.8984417499959818,None,,,,,03,001,2025-11-13_01h04.31.022,stroop task,,2025.1.1,None,2025-11-13 01h04.37.641457 +0530,
ROSE,red,C,r,N,8,8,0,r,1,0.7180300000036368,None,0,8,8,34,14.856900540995412,,,,,,,,,14.849126540997531,14.856900540995412,15.342438624997158,15.342438624997158,15.342438624997158,16.06661349999922,r,1,0.7180300000036368,None,,,,,03,001,2025-11-13_01h04.31.022,stroop task,,2025.1.1,None,2025-11-13 01h04.37.641457 +0530,
