thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,text.stopped,instructions.stopped,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,thankyou.started,text_2.started,text_2.stopped,thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.004543582996120676,0.009884583007078618,2.050107457995182,1.9935507500049425,,,,,,,,,,,,,,,,,,002,001,2025-09-27_22h53.39.950,VisualSearch,,2025.1.1,120.84750451576377,2025-09-27 22h53.45.934031 +0530,
0,0,0,[np.float64(0.11777777777777777)],[np.float64(-0.3622222222222222)],[1],[0],[0],[1.2305565830029082],['target'],0,0,0,0,2.050107457995182,,,,,,10,2.0321116669947514,2.050107457995182,2.050107457995182,0.032138958005816676,3.262713917007204,[np.float64(0.11777777777777777)],[np.float64(-0.3622222222222222)],[1],[0],[0],[1.2305565830029082],['target'],,,,,002,001,2025-09-27_22h53.39.950,VisualSearch,,2025.1.1,120.84750451576377,2025-09-27 22h53.45.934031 +0530,
1,0,1,"[np.float64(-0.19777777777777777), np.float64(-0.1811111111111111)]","[np.float64(-0.44333333333333336), np.float64(-0.4411111111111111)]","[1, 1]","[0, 0]","[0, 0]","[1.471557249999023, 2.0545872499933466]","[None, 'target']",1,0,1,0,3.2833208750089398,,,,,,5,3.274258292003651,3.2833208750089398,3.2833208750089398,0.011353333000442944,5.328930667004897,"[np.float64(-0.19777777777777777), np.float64(-0.1811111111111111)]","[np.float64(-0.44333333333333336), np.float64(-0.4411111111111111)]","[1, 1]","[0, 0]","[0, 0]","[1.471557249999023, 2.0545872499933466]","[None, 'target']",,,,,002,001,2025-09-27_22h53.39.950,VisualSearch,,2025.1.1,120.84750451576377,2025-09-27 22h53.45.934031 +0530,
2,0,2,[np.float64(0.06444444444444444)],[np.float64(-0.016666666666666666)],[1],[0],[0],[1.020167875001789],['target'],2,0,2,0,5.371185541996965,,,,,,10,5.357976792001864,5.371185541996965,5.371185541996965,0.028798666011425667,6.3781956669990905,[np.float64(0.06444444444444444)],[np.float64(-0.016666666666666666)],[1],[0],[0],[1.020167875001789],['target'],,,,,002,001,2025-09-27_22h53.39.950,VisualSearch,,2025.1.1,120.84750451576377,2025-09-27 22h53.45.934031 +0530,
3,0,3,[np.float64(0.31333333333333335)],[np.float64(0.15777777777777777)],[1],[0],[0],[1.04439112500404],['target'],3,0,3,0,6.412991582998075,,,,,,10,6.401027750005596,6.412991582998075,6.412991582998075,0.02265895900200121,7.445464874996105,[np.float64(0.31333333333333335)],[np.float64(0.15777777777777777)],[1],[0],[0],[1.04439112500404],['target'],,,,,002,001,2025-09-27_22h53.39.950,VisualSearch,,2025.1.1,120.84750451576377,2025-09-27 22h53.45.934031 +0530,
4,0,4,[np.float64(-0.03888888888888889)],[np.float64(0.23444444444444446)],[1],[0],[0],[1.1625629579939414],['target'],4,0,4,0,7.47684037500585,,,,,,10,7.466167874998064,7.47684037500585,7.47684037500585,0.02055158300208859,8.628780833008932,[np.float64(-0.03888888888888889)],[np.float64(0.23444444444444446)],[1],[0],[0],[1.1625629579939414],['target'],,,,,002,001,2025-09-27_22h53.39.950,VisualSearch,,2025.1.1,120.84750451576377,2025-09-27 22h53.45.934031 +0530,
5,0,5,[np.float64(0.3377777777777778)],[np.float64(0.2111111111111111)],[1],[0],[0],[0.9890845839981921],['target'],5,0,5,0,8.648800292008673,,,,,,5,8.640083250007592,8.648800292008673,8.648800292008673,0.01115429200581275,9.629237957997248,[np.float64(0.3377777777777778)],[np.float64(0.2111111111111111)],[1],[0],[0],[0.9890845839981921],['target'],,,,,002,001,2025-09-27_22h53.39.950,VisualSearch,,2025.1.1,120.84750451576377,2025-09-27 22h53.45.934031 +0530,
6,0,6,[np.float64(-0.41555555555555557)],[np.float64(0.1288888888888889)],[1],[0],[0],[2.0047606250009267],['target'],6,0,6,0,9.669159083001432,,,,,,10,9.656407083006343,9.669159083001432,9.669159083001432,0.027007541997591034,11.661197417008225,[np.float64(-0.41555555555555557)],[np.float64(0.1288888888888889)],[1],[0],[0],[2.0047606250009267],['target'],,,,,002,001,2025-09-27_22h53.39.950,VisualSearch,,2025.1.1,120.84750451576377,2025-09-27 22h53.45.934031 +0530,
7,0,7,[np.float64(0.38666666666666666)],[np.float64(0.4488888888888889)],[1],[0],[0],[1.8633518749993527],['target'],7,0,7,0,11.692695749996346,,,,,,10,11.682070625000051,11.692695749996346,11.692695749996346,0.020727124996483326,13.545470166995074,[np.float64(0.38666666666666666)],[np.float64(0.4488888888888889)],[1],[0],[0],[1.8633518749993527],['target'],,,,,002,001,2025-09-27_22h53.39.950,VisualSearch,,2025.1.1,120.84750451576377,2025-09-27 22h53.45.934031 +0530,
8,0,8,"[np.float64(-0.5011111111111111), np.float64(-0.4822222222222222)]","[np.float64(-0.25555555555555554), np.float64(-0.25666666666666665)]","[1, 1]","[0, 0]","[0, 0]","[1.5964537499967264, 2.146019958992838]","[None, 'target']",8,0,8,0,13.576003417008906,,,,,,10,13.565389124996727,13.576003417008906,13.576003417008906,0.019769334001466632,15.711467417000677,"[np.float64(-0.5011111111111111), np.float64(-0.4822222222222222)]","[np.float64(-0.25555555555555554), np.float64(-0.25666666666666665)]","[1, 1]","[0, 0]","[0, 0]","[1.5964537499967264, 2.146019958992838]","[None, 'target']",,,,,002,001,2025-09-27_22h53.39.950,VisualSearch,,2025.1.1,120.84750451576377,2025-09-27 22h53.45.934031 +0530,
