word,colour,stim_condition,correct_resp,stim_wordtype,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,text_2.started,key_resp_2.started,Instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thank_You.started,text_3.started,text_3.stopped,Thank_You.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.004735292000987101,0.014158833997498732,0.014158833997498732,2.716420708995429,space,2.53036649999558,None,,,,,,,,,,,,,,,05,001,2025-11-13_17h43.19.372,stroop task,,2025.1.1,None,2025-11-13 17h43.25.794110 +0530,
DANGER,blue,I,b,E,0,0,0,b,1,0.7781465409934754,None,0,0,0,11,2.7331661249991157,,,,,,,,,2.72501504200045,2.7331661249991157,3.2163349589973222,3.2163349589973222,3.2163349589973222,3.9978032500002882,b,1,0.7781465409934754,None,,,,,05,001,2025-11-13_17h43.19.372,stroop task,,2025.1.1,None,2025-11-13 17h43.25.794110 +0530,
PEN,yellow,I,y,N,1,1,0,y,1,0.9849680830011494,None,0,1,1,33,4.0101003749950905,,,,,,,,,4.0024587090010755,4.0101003749950905,4.500599416998739,4.500599416998739,4.500599416998739,5.492397624999285,y,1,0.9849680830011494,None,,,,,05,001,2025-11-13_17h43.19.372,stroop task,,2025.1.1,None,2025-11-13 17h43.25.794110 +0530,
PEACE,blue,C,b,E,2,2,0,b,1,0.9103143329994055,None,0,2,2,2,5.506333249999443,,,,,,,,,5.498493541999778,5.506333249999443,5.990187874995172,5.990187874995172,5.990187874995172,6.908847749997221,b,1,0.9103143329994055,None,,,,,05,001,2025-11-13_17h43.19.372,stroop task,,2025.1.1,None,2025-11-13 17h43.25.794110 +0530,
JOY,red,I,r,E,3,3,0,r,1,1.0444499160003033,None,0,3,3,5,6.924383666999347,,,,,,,,,6.916882208999596,6.924383666999347,7.407082833997265,7.407082833997265,7.407082833997265,8.458915791998152,r,1,1.0444499160003033,None,,,,,05,001,2025-11-13_17h43.19.372,stroop task,,2025.1.1,None,2025-11-13 17h43.25.794110 +0530,
HAPPINESS,green,I,g,E,4,4,0,g,1,0.6584052500038524,None,0,4,4,15,8.474255959001312,,,,,,,,,8.466346666995378,8.474255959001312,8.957018708999385,8.957018708999385,8.957018708999385,9.626001124997856,g,1,0.6584052500038524,None,,,,,05,001,2025-11-13_17h43.19.372,stroop task,,2025.1.1,None,2025-11-13 17h43.25.794110 +0530,
BUS,yellow,C,y,N,5,5,0,y,1,0.7837812910001958,None,0,5,5,36,9.639525458995195,,,,,,,,,9.631448874999478,9.639525458995195,10.122877374997188,10.122877374997188,10.122877374997188,10.909082166996086,y,1,0.7837812910001958,None,,,,,05,001,2025-11-13_17h43.19.372,stroop task,,2025.1.1,None,2025-11-13 17h43.25.794110 +0530,
PEN,blue,C,b,N,6,6,0,b,1,0.7505655830027536,None,0,6,6,32,10.922173833998386,,,,,,,,,10.914489958995546,10.922173833998386,11.407087166997371,11.407087166997371,11.407087166997371,12.168477833998622,b,1,0.7505655830027536,None,,,,,05,001,2025-11-13_17h43.19.372,stroop task,,2025.1.1,None,2025-11-13 17h43.25.794110 +0530,
GRASS,green,C,g,N,7,7,0,g,1,0.6050059580011293,None,0,7,7,22,12.177699667001434,,,,,,,,,12.172923083999194,12.177699667001434,12.666745666996576,12.666745666996576,12.666745666996576,13.275612083998567,g,1,0.6050059580011293,None,,,,,05,001,2025-11-13_17h43.19.372,stroop task,,2025.1.1,None,2025-11-13 17h43.25.794110 +0530,
TREE,red,I,r,N,8,8,0,r,1,0.7618793329966138,None,0,8,8,27,13.287969917000737,,,,,,,,,13.280051041998377,13.287969917000737,13.773792333995516,13.773792333995516,13.773792333995516,14.542407208995428,r,1,0.7618793329966138,None,,,,,05,001,2025-11-13_17h43.19.372,stroop task,,2025.1.1,None,2025-11-13 17h43.25.794110 +0530,
