pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trial_2.started,fixation_2.started,line_1.started,line_2.started,line_3.started,line_4.started,fixation_2.stopped,probe_2.started,key_resp_2.started,trial_2.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.corr,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
50,c,0,0,0,c,1,0.60401762498077,None,,,,,0,0,0,0,,,,,0.017799583001760766,,0.011655125010292977,0.017799583001760766,1.00898770801723,1.00898770801723,1.00898770801723,1.00898770801723,1.0209397909929976,1.998244375019567,1.998244375019567,2.8651525000168476,c,1,0.60401762498077,None,,,,,,,,,,,,,,,02,001,2025-10-01_15h39.03.082,MotorSequence,,2025.1.1,119.19454334520667,2025-10-01 15h39.10.661631 +0530,
-150,z,1,1,0,z,1,0.4100012919807341,None,,,,,0,1,1,1,,,,,2.876257958007045,,2.865365166013362,2.876257958007045,3.8632040829979815,3.8632040829979815,3.8632040829979815,3.8632040829979815,3.871324750012718,4.8630927500198595,4.8630927500198595,5.279444915999193,z,1,0.4100012919807341,None,,,,,,,,,,,,,,,02,001,2025-10-01_15h39.03.082,MotorSequence,,2025.1.1,119.19454334520667,2025-10-01 15h39.10.661631 +0530,
150,v,2,2,0,v,1,0.4413099169905763,None,,,,,0,2,2,2,,,,,5.289172165998025,,5.2799777910113335,5.289172165998025,6.279741416015895,6.279741416015895,6.279741416015895,6.279741416015895,6.287939791014651,7.270764957997017,7.270764957997017,7.7219412499980535,v,1,0.4413099169905763,None,,,,,,,,,,,,,,,02,001,2025-10-01_15h39.03.082,MotorSequence,,2025.1.1,119.19454334520667,2025-10-01 15h39.10.661631 +0530,
-50,x,3,3,0,x,1,0.2589987090032082,None,,,,,0,3,3,3,,,,,7.731110207998427,,7.722447291016579,7.731110207998427,8.713198333018227,8.713198333018227,8.713198333018227,8.713198333018227,8.729124083009083,9.712961915996857,9.712961915996857,9.97970087500289,x,1,0.2589987090032082,None,,,,,,,,,,,,,,,02,001,2025-10-01_15h39.03.082,MotorSequence,,2025.1.1,119.19454334520667,2025-10-01 15h39.10.661631 +0530,
50,c,4,0,1,c,1,0.269529709010385,None,,,,,1,0,4,0,,,,,9.989790499996161,,9.980216208001366,9.989790499996161,10.971447332995012,10.971447332995012,10.971447332995012,10.971447332995012,10.98763908300316,11.979764999996405,11.979764999996405,12.255668791010976,c,1,0.269529709010385,None,,,,,,,,,,,,,,,02,001,2025-10-01_15h39.03.082,MotorSequence,,2025.1.1,119.19454334520667,2025-10-01 15h39.10.661631 +0530,
-150,z,5,1,1,z,1,0.19581116701010615,None,,,,,1,1,5,1,,,,,12.264760707999812,,12.25615737499902,12.264760707999812,13.254296958009945,13.254296958009945,13.254296958009945,13.254296958009945,13.262021916016238,14.254495916015003,14.254495916015003,14.455462957994314,z,1,0.19581116701010615,None,,,,,,,,,,,,,,,02,001,2025-10-01_15h39.03.082,MotorSequence,,2025.1.1,119.19454334520667,2025-10-01 15h39.10.661631 +0530,
150,v,6,2,1,v,1,0.3047388750128448,None,,,,,1,2,6,2,,,,,14.464632040995639,,14.45594437501859,14.464632040995639,15.446927125012735,15.446927125012735,15.446927125012735,15.446927125012735,15.462862375017721,16.45445312501397,16.45445312501397,16.76341670801048,v,1,0.3047388750128448,None,,,,,,,,,,,,,,,02,001,2025-10-01_15h39.03.082,MotorSequence,,2025.1.1,119.19454334520667,2025-10-01 15h39.10.661631 +0530,
-50,x,7,3,1,x,1,0.5657034169998951,None,,,,,1,3,7,3,,,,,16.772930416016607,,16.763891833019443,16.772930416016607,17.763750625017565,17.763750625017565,17.763750625017565,17.763750625017565,17.771715125010815,18.754527415992925,18.754527415992925,19.322393208014546,x,1,0.5657034169998951,None,,,,,,,,,,,,,,,02,001,2025-10-01_15h39.03.082,MotorSequence,,2025.1.1,119.19454334520667,2025-10-01 15h39.10.661631 +0530,
50,c,8,0,2,x,0,0.9605309170146938,None,,,,,2,0,8,0,,,,,19.344711000012467,,19.3229551660188,19.344711000012467,20.321273500012467,20.321273500012467,20.321273500012467,20.321273500012467,20.337913249997655,21.31278145799297,21.31278145799297,22.280002333020093,x,0,0.9605309170146938,None,,,,,,,,,,,,,,,02,001,2025-10-01_15h39.03.082,MotorSequence,,2025.1.1,119.19454334520667,2025-10-01 15h39.10.661631 +0530,
-150,z,9,1,2,z,1,0.7243590840080287,None,,,,,2,1,9,1,,,,,22.290248625009554,,22.280615374998888,22.290248625009554,23.28044316600426,23.28044316600426,23.28044316600426,23.28044316600426,23.288610165996943,24.280058083008043,24.280058083008043,25.006111583003076,z,1,0.7243590840080287,None,,,,,,,,,,,,,,,02,001,2025-10-01_15h39.03.082,MotorSequence,,2025.1.1,119.19454334520667,2025-10-01 15h39.10.661631 +0530,
150,v,10,2,2,v,1,0.5335297090059612,None,,,,,2,2,10,2,,,,,25.01279166599852,,25.00661325000692,25.01279166599852,25.997207666019676,25.997207666019676,25.997207666019676,25.997207666019676,26.005316208000295,27.00481920799939,27.00481920799939,27.539471541007515,v,1,0.5335297090059612,None,,,,,,,,,,,,,,,02,001,2025-10-01_15h39.03.082,MotorSequence,,2025.1.1,119.19454334520667,2025-10-01 15h39.10.661631 +0530,
-50,x,11,3,2,x,1,0.4942266260040924,None,,,,,2,3,11,3,,,,,27.546255332999863,,27.539955832995474,27.546255332999863,28.530557874997612,28.530557874997612,28.530557874997612,28.530557874997612,28.538380625017453,29.538184833014384,29.538184833014384,30.03934908300289,x,1,0.4942266260040924,None,,,,,,,,,,,,,,,02,001,2025-10-01_15h39.03.082,MotorSequence,,2025.1.1,119.19454334520667,2025-10-01 15h39.10.661631 +0530,
