thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,text.stopped,instructions.stopped,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,thankyou.started,text_2.started,text_2.stopped,thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.004557791005936451,0.010378999999375083,2.0538915830111364,1.9946831249981187,,,,,,,,,,,,,,,,,,001,001,2025-09-28_01h17.17.649,VisualSearch,,2025.1.1,None,2025-09-28 01h17.24.356804 +0530,
0,0,0,[np.float64(-0.32)],[np.float64(0.36444444444444446)],[1],[0],[0],[1.672406375000719],['target'],0,0,0,0,2.0538915830111364,,,,,,10,2.0338894160086056,2.0538915830111364,2.0538915830111364,0.0339163339958759,3.7063650830095867,[np.float64(-0.32)],[np.float64(0.36444444444444446)],[1],[0],[0],[1.672406375000719],['target'],,,,,001,001,2025-09-28_01h17.17.649,VisualSearch,,2025.1.1,None,2025-09-28 01h17.24.356804 +0530,
1,0,1,[np.float64(-0.39)],[np.float64(-0.24555555555555555)],[1],[0],[0],[1.5008014589984668],['target'],1,0,1,0,3.7277542500087293,,,,,,5,3.7182797910063528,3.7277542500087293,3.7277542500087293,0.011680167008307762,5.219146333009121,[np.float64(-0.39)],[np.float64(-0.24555555555555555)],[1],[0],[0],[1.5008014589984668],['target'],,,,,001,001,2025-09-28_01h17.17.649,VisualSearch,,2025.1.1,None,2025-09-28 01h17.24.356804 +0530,
2,0,2,[np.float64(0.3988888888888889)],[np.float64(-0.28)],[1],[0],[0],[2.169169208005769],['target'],2,0,2,0,5.244290875009028,,,,,,5,5.233768791003968,5.244290875009028,5.244290875009028,0.014462167004239745,7.403022041005897,[np.float64(0.3988888888888889)],[np.float64(-0.28)],[1],[0],[0],[2.169169208005769],['target'],,,,,001,001,2025-09-28_01h17.17.649,VisualSearch,,2025.1.1,None,2025-09-28 01h17.24.356804 +0530,
3,0,3,[np.float64(-0.29444444444444445)],[np.float64(0.2733333333333333)],[1],[0],[0],[1.4006952089985134],['target'],3,0,3,0,7.430071333001251,,,,,,5,7.419489040999906,7.430071333001251,7.430071333001251,0.016270708001684397,8.820261333006783,[np.float64(-0.29444444444444445)],[np.float64(0.2733333333333333)],[1],[0],[0],[1.4006952089985134],['target'],,,,,001,001,2025-09-28_01h17.17.649,VisualSearch,,2025.1.1,None,2025-09-28 01h17.24.356804 +0530,
4,0,4,[np.float64(-0.1688888888888889)],[np.float64(-0.37777777777777777)],[1],[0],[0],[1.7548648749943823],['target'],4,0,4,0,8.860903000007966,,,,,,10,8.847693916002754,8.860903000007966,8.860903000007966,0.027234875000431202,10.602611875001458,[np.float64(-0.1688888888888889)],[np.float64(-0.37777777777777777)],[1],[0],[0],[1.7548648749943823],['target'],,,,,001,001,2025-09-28_01h17.17.649,VisualSearch,,2025.1.1,None,2025-09-28 01h17.24.356804 +0530,
5,0,5,[np.float64(-0.35555555555555557)],[np.float64(-0.09222222222222222)],[1],[0],[0],[1.238565749998088],['target'],5,0,5,0,10.623633916009567,,,,,,5,10.614896665996639,10.623633916009567,10.623633916009567,0.012095292011508718,11.853543707999052,[np.float64(-0.35555555555555557)],[np.float64(-0.09222222222222222)],[1],[0],[0],[1.238565749998088],['target'],,,,,001,001,2025-09-28_01h17.17.649,VisualSearch,,2025.1.1,None,2025-09-28 01h17.24.356804 +0530,
6,0,6,[np.float64(-0.5044444444444445)],[np.float64(0.35888888888888887)],[1],[0],[0],[1.4842480000079377],['target'],6,0,6,0,11.878854875001707,,,,,,5,11.868982790998416,11.878854875001707,11.878854875001707,0.0152105839952128,13.353299791007885,[np.float64(-0.5044444444444445)],[np.float64(0.35888888888888887)],[1],[0],[0],[1.4842480000079377],['target'],,,,,001,001,2025-09-28_01h17.17.649,VisualSearch,,2025.1.1,None,2025-09-28 01h17.24.356804 +0530,
7,0,7,[np.float64(-0.01)],[np.float64(0.22333333333333333)],[1],[0],[0],[1.3350380829942878],['target'],7,0,7,0,13.3784097910102,,,,,,5,13.36849258300208,13.3784097910102,13.3784097910102,0.014992541997344233,14.70361337500799,[np.float64(-0.01)],[np.float64(0.22333333333333333)],[1],[0],[0],[1.3350380829942878],['target'],,,,,001,001,2025-09-28_01h17.17.649,VisualSearch,,2025.1.1,None,2025-09-28 01h17.24.356804 +0530,
8,0,8,[np.float64(-0.22555555555555556)],[np.float64(0.11666666666666667)],[1],[0],[0],[1.1019969999906607],['target'],8,0,8,0,14.7470354160032,,,,,,10,14.733808457996929,14.7470354160032,14.7470354160032,0.029992833005962893,15.835855541008641,[np.float64(-0.22555555555555556)],[np.float64(0.11666666666666667)],[1],[0],[0],[1.1019969999906607],['target'],,,,,001,001,2025-09-28_01h17.17.649,VisualSearch,,2025.1.1,None,2025-09-28 01h17.24.356804 +0530,
