reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
86,123,14,70,70,0,t,4.057355249999091,None,0,70,70,45,478.29536362504587,,478.28707150003174,478.29536362504587,479.2788550420082,479.2788550420082,479.2847307920456,483.3474709170405,t,4.057355249999091,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
38,68,45,71,71,0,t,1.7631240419577807,None,0,71,71,60,483.3622074170271,,483.3539535420132,483.3622074170271,484.3461305000237,484.3461305000237,484.3523550420068,486.11459404201014,t,1.7631240419577807,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
15,35,13,72,72,0,t,3.3796924999915063,None,0,72,72,1,486.1298527500476,,486.12042054202175,486.1298527500476,487.1126246250351,487.1126246250351,487.11858541704714,490.49813254200853,t,3.3796924999915063,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
77,115,30,73,73,0,t,6.18100941699231,None,0,73,73,55,490.5136277920101,,490.5060552920331,490.5136277920101,491.49604787502903,491.49604787502903,491.502467250044,497.68162475002464,t,6.18100941699231,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
67,75,119,74,74,0,t,3.789610125008039,None,0,74,74,5,497.69676970900036,,497.68912208400434,497.69676970900036,498.67959304200485,498.67959304200485,498.6863867090433,502.47177875001216,t,3.789610125008039,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
36,53,330,75,75,0,t,2.1238992920261808,None,0,75,75,92,502.4848507090355,,502.477669917047,502.4848507090355,503.47144162503537,503.47144162503537,503.47942124999827,505.59833375003655,t,2.1238992920261808,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
88,137,150,76,76,0,t,4.848793375014793,None,0,76,76,75,505.61385575000895,,505.60552516701864,505.61385575000895,506.59654695901554,506.59654695901554,506.6026123340125,511.4483736670227,t,4.848793375014793,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
38,94,180,77,77,0,t,2.1582833750289865,None,0,77,77,79,511.46273912501056,,511.4549211250269,511.46273912501056,512.4469067500322,512.4469067500322,512.4528973340057,514.6154127090122,t,2.1582833750289865,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
15,46,365,78,78,0,t,1.8199635010096245,None,0,78,78,96,514.6302490840317,,514.6226532500004,514.6302490840317,515.6133379170205,515.6133379170205,515.6193768749945,517.4381649590214,t,1.8199635010096245,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
15,74,5,79,79,0,l,2.067913291975856,None,0,79,79,22,517.4512045000447,,517.4441581250285,517.4512045000447,518.4384065420018,518.4384065420018,518.4465930000297,520.5158728340175,l,2.067913291975856,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
62,75,10,80,80,0,l,2.324590001022443,None,0,80,80,36,520.5311409590067,,520.5235311670112,520.5311409590067,521.5137069590273,521.5137069590273,521.5198054590146,523.8490474169957,l,2.324590001022443,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
