pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trial_2.started,fixation_2.started,line_1.started,line_2.started,line_3.started,line_4.started,fixation_2.stopped,probe_2.started,key_resp_2.started,trial_2.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.corr,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
50,c,0,0,0,c,1,0.6208410010149237,None,,,,,0,0,0,0,,,,,0.017392999987350777,,0.01140024999040179,0.017392999987350777,1.0100061660050415,1.0100061660050415,1.0100061660050415,1.0100061660050415,1.031070750002982,1.9985489159880672,1.9985489159880672,2.800766250002198,c,1,0.6208410010149237,None,,,,,,,,,,,,,,,03,001,2025-10-01_16h16.54.751,MotorSequence,,2025.1.1,120.00594078635822,2025-10-01 16h17.01.439255 +0530,
-150,z,1,1,0,z,1,0.4058482090185862,None,,,,,0,1,1,1,,,,,2.8119724999996834,,2.8009674579952843,2.8119724999996834,3.7978023329924326,3.7978023329924326,3.7978023329924326,3.7978023329924326,3.8055352499941364,4.79771679098485,4.79771679098485,5.206676500005415,z,1,0.4058482090185862,None,,,,,,,,,,,,,,,03,001,2025-10-01_16h16.54.751,MotorSequence,,2025.1.1,120.00594078635822,2025-10-01 16h17.01.439255 +0530,
150,v,2,2,0,v,1,0.33497670901124366,None,,,,,0,2,2,2,,,,,5.231252541008871,,5.207291333004832,5.231252541008871,6.207036290987162,6.207036290987162,6.207036290987162,6.207036290987162,6.2229490829922725,7.206593499984592,7.206593499984592,7.549407082988182,v,1,0.33497670901124366,None,,,,,,,,,,,,,,,03,001,2025-10-01_16h16.54.751,MotorSequence,,2025.1.1,120.00594078635822,2025-10-01 16h17.01.439255 +0530,
-50,x,3,3,0,x,1,0.35753412498161197,None,,,,,0,3,3,3,,,,,7.559158374991966,,7.55012749999878,7.559158374991966,8.540117625001585,8.540117625001585,8.540117625001585,8.540117625001585,8.555816957989009,9.547960833006073,9.547960833006073,9.916050625004573,x,1,0.35753412498161197,None,,,,,,,,,,,,,,,03,001,2025-10-01_16h16.54.751,MotorSequence,,2025.1.1,120.00594078635822,2025-10-01 16h17.01.439255 +0530,
50,c,4,0,1,c,1,0.26942816699738614,None,,,,,1,0,4,0,,,,,9.925755999982357,,9.916579207987525,9.925755999982357,10.914737374987453,10.914737374987453,10.914737374987453,10.914737374987453,10.922392915992532,11.91507454100065,11.91507454100065,12.190059874992585,c,1,0.26942816699738614,None,,,,,,,,,,,,,,,03,001,2025-10-01_16h16.54.751,MotorSequence,,2025.1.1,120.00594078635822,2025-10-01 16h17.01.439255 +0530,
-150,z,5,1,1,z,1,0.46306112498859875,None,,,,,1,1,5,1,,,,,12.199973790993681,,12.190551624982618,12.199973790993681,13.190554750006413,13.190554750006413,13.190554750006413,13.190554750006413,13.198317625006894,14.190547083009733,14.190547083009733,14.656724000000395,z,1,0.46306112498859875,None,,,,,,,,,,,,,,,03,001,2025-10-01_16h16.54.751,MotorSequence,,2025.1.1,120.00594078635822,2025-10-01 16h17.01.439255 +0530,
150,v,6,2,1,v,1,0.4065788750012871,None,,,,,1,2,6,2,,,,,14.66652620799141,,14.657244500005618,14.66652620799141,15.657124124991242,15.657124124991242,15.657124124991242,15.657124124991242,15.665004665992456,16.656086790986592,16.656086790986592,17.06603379099397,v,1,0.4065788750012871,None,,,,,,,,,,,,,,,03,001,2025-10-01_16h16.54.751,MotorSequence,,2025.1.1,120.00594078635822,2025-10-01 16h17.01.439255 +0530,
-50,x,7,3,1,x,1,0.2546831259969622,None,,,,,1,3,7,3,,,,,17.07501745800255,,17.066515457991045,17.07501745800255,18.0573059580056,18.0573059580056,18.0573059580056,18.0573059580056,18.072599250008352,19.064996000000974,19.064996000000974,19.32320862499182,x,1,0.2546831259969622,None,,,,,,,,,,,,,,,03,001,2025-10-01_16h16.54.751,MotorSequence,,2025.1.1,120.00594078635822,2025-10-01 16h17.01.439255 +0530,
50,c,8,0,2,c,1,0.3407186249969527,None,,,,,2,0,8,0,,,,,19.332921166002052,,19.323686082992936,19.332921166002052,20.315525957994396,20.315525957994396,20.315525957994396,20.315525957994396,20.32326216599904,21.322898665996036,21.322898665996036,21.66618324999581,c,1,0.3407186249969527,None,,,,,,,,,,,,,,,03,001,2025-10-01_16h16.54.751,MotorSequence,,2025.1.1,120.00594078635822,2025-10-01 16h17.01.439255 +0530,
-150,z,9,1,2,z,1,0.4305282920249738,None,,,,,2,1,9,1,,,,,21.675410499999998,,21.666667790996144,21.675410499999998,22.657582832995104,22.657582832995104,22.657582832995104,22.657582832995104,22.673091458011186,23.656235166010447,23.656235166010447,24.090314540982945,z,1,0.4305282920249738,None,,,,,,,,,,,,,,,03,001,2025-10-01_16h16.54.751,MotorSequence,,2025.1.1,120.00594078635822,2025-10-01 16h17.01.439255 +0530,
150,v,10,2,2,v,1,0.28669616699335165,None,,,,,2,2,10,2,,,,,24.0999434159894,,24.09080333300517,24.0999434159894,25.08185516600497,25.08185516600497,25.08185516600497,25.08185516600497,25.09867358300835,26.090237500000512,26.090237500000512,26.383704415988177,v,1,0.28669616699335165,None,,,,,,,,,,,,,,,03,001,2025-10-01_16h16.54.751,MotorSequence,,2025.1.1,120.00594078635822,2025-10-01 16h17.01.439255 +0530,
-50,x,11,3,2,x,1,0.19163887601462193,None,,,,,2,3,11,3,,,,,26.3935140829999,,26.38425820801058,26.3935140829999,27.382007250009337,27.382007250009337,27.382007250009337,27.382007250009337,27.390314582997235,28.3820770829916,28.3820770829916,28.583192666003015,x,1,0.19163887601462193,None,,,,,,,,,,,,,,,03,001,2025-10-01_16h16.54.751,MotorSequence,,2025.1.1,120.00594078635822,2025-10-01 16h17.01.439255 +0530,
50,c,12,0,3,c,1,0.22023145901039243,None,,,,,3,0,12,0,,,,,28.592667666001944,,28.583691832987824,28.592667666001944,29.57425662499736,29.57425662499736,29.57425662499736,29.57425662499736,29.589855083002476,30.573715540987905,30.573715540987905,30.8004995000083,c,1,0.22023145901039243,None,,,,,,,,,,,,,,,03,001,2025-10-01_16h16.54.751,MotorSequence,,2025.1.1,120.00594078635822,2025-10-01 16h17.01.439255 +0530,
-150,z,13,1,3,z,1,0.2810223329870496,None,,,,,3,1,13,1,,,,,30.809534665982937,,30.80100800000946,30.809534665982937,31.798786375002237,31.798786375002237,31.798786375002237,31.798786375002237,31.80644362498424,32.79884166599368,32.79884166599368,33.083631082990905,z,1,0.2810223329870496,None,,,,,,,,,,,,,,,03,001,2025-10-01_16h16.54.751,MotorSequence,,2025.1.1,120.00594078635822,2025-10-01 16h17.01.439255 +0530,
150,v,14,2,3,v,1,0.24476500001037493,None,,,,,3,2,14,2,,,,,33.093684666004265,,33.0842327910068,33.093684666004265,34.08226058300352,34.08226058300352,34.08226058300352,34.08226058300352,34.09001058299327,35.082283791009104,35.082283791009104,35.333555332996184,v,1,0.24476500001037493,None,,,,,,,,,,,,,,,03,001,2025-10-01_16h16.54.751,MotorSequence,,2025.1.1,120.00594078635822,2025-10-01 16h17.01.439255 +0530,
-50,x,15,3,3,x,1,0.21959358401363716,None,,,,,3,3,15,3,,,,,35.342570040986175,,35.33407720798277,35.342570040986175,36.32479191600578,36.32479191600578,36.32479191600578,36.32479191600578,36.34036504098913,37.33236104098614,37.33236104098614,37.55765162498574,x,1,0.21959358401363716,None,,,,,,,,,,,,,,,03,001,2025-10-01_16h16.54.751,MotorSequence,,2025.1.1,120.00594078635822,2025-10-01 16h17.01.439255 +0530,
50,c,16,0,4,c,1,0.2897873749898281,None,,,,,4,0,16,0,,,,,37.5672510000004,,37.558176416001515,37.5672510000004,38.55828883301001,38.55828883301001,38.55828883301001,38.55828883301001,38.5662986249954,39.557260415982455,39.557260415982455,39.85047425000812,c,1,0.2897873749898281,None,,,,,,,,,,,,,,,03,001,2025-10-01_16h16.54.751,MotorSequence,,2025.1.1,120.00594078635822,2025-10-01 16h17.01.439255 +0530,
-150,z,17,1,4,z,1,0.5488898339972366,None,,,,,4,1,17,1,,,,,39.85942245798651,,39.85097054101061,39.85942245798651,40.8491702080064,40.8491702080064,40.8491702080064,40.8491702080064,40.85691187498742,41.84919545799494,41.84919545799494,42.400549582991516,z,1,0.5488898339972366,None,,,,,,,,,,,,,,,03,001,2025-10-01_16h16.54.751,MotorSequence,,2025.1.1,120.00594078635822,2025-10-01 16h17.01.439255 +0530,
150,v,18,2,4,v,1,0.6309020839980803,None,,,,,4,2,18,2,,,,,42.409284541005036,,42.40104104098282,42.409284541005036,43.39175787498243,43.39175787498243,43.39175787498243,43.39175787498243,43.399652749998495,44.399251291004475,44.399251291004475,45.03407308299211,v,1,0.6309020839980803,None,,,,,,,,,,,,,,,03,001,2025-10-01_16h16.54.751,MotorSequence,,2025.1.1,120.00594078635822,2025-10-01 16h17.01.439255 +0530,
-50,x,19,3,4,x,1,0.2774783750064671,None,,,,,4,3,19,3,,,,,45.04288241598988,,45.03457654098747,45.04288241598988,46.032890415983275,46.032890415983275,46.032890415983275,46.032890415983275,46.04059683298692,47.032708332990296,47.032708332990296,47.31732866598759,x,1,0.2774783750064671,None,,,,,,,,,,,,,,,03,001,2025-10-01_16h16.54.751,MotorSequence,,2025.1.1,120.00594078635822,2025-10-01 16h17.01.439255 +0530,
50,c,20,0,5,c,1,0.23501887600286864,None,,,,,5,0,20,0,,,,,47.32696783301071,,47.318009707989404,47.32696783301071,48.31614000000991,48.31614000000991,48.31614000000991,48.31614000000991,48.323468207992846,49.31610041600652,49.31610041600652,49.55774829100119,c,1,0.23501887600286864,None,,,,,,,,,,,,,,,03,001,2025-10-01_16h16.54.751,MotorSequence,,2025.1.1,120.00594078635822,2025-10-01 16h17.01.439255 +0530,
-150,z,21,1,5,x,0,0.3096545840089675,None,,,,,5,1,21,1,,,,,49.567487207998056,,49.558244665997336,49.567487207998056,50.549523291003425,50.549523291003425,50.549523291003425,50.549523291003425,50.566129207989434,51.549551125004655,51.549551125004655,51.86748487499426,x,0,0.3096545840089675,None,,,,,,,,,,,,,,,03,001,2025-10-01_16h16.54.751,MotorSequence,,2025.1.1,120.00594078635822,2025-10-01 16h17.01.439255 +0530,
150,v,22,2,5,c,0,0.4147987500182353,None,,,,,5,2,22,2,,,,,51.87743429100374,,51.868134499993175,51.87743429100374,52.86624733300414,52.86624733300414,52.86624733300414,52.86624733300414,52.873901415994624,53.86633254098706,53.86633254098706,54.284386457991786,c,0,0.4147987500182353,None,,,,,,,,,,,,,,,03,001,2025-10-01_16h16.54.751,MotorSequence,,2025.1.1,120.00594078635822,2025-10-01 16h17.01.439255 +0530,
-50,x,23,3,5,x,1,0.5192909580073319,None,,,,,5,3,23,3,,,,,54.29379191598855,,54.28487883298658,54.29379191598855,55.282958249998046,55.282958249998046,55.282958249998046,55.282958249998046,55.29072358299163,56.28299425001023,56.28299425001023,56.80830954099656,x,1,0.5192909580073319,None,,,,,,,,,,,,,,,03,001,2025-10-01_16h16.54.751,MotorSequence,,2025.1.1,120.00594078635822,2025-10-01 16h17.01.439255 +0530,
