word,colour,stim_condition,correct_resp,stim_wordtype,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,text_2.started,key_resp_2.started,Instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thank_You.started,text_3.started,text_3.stopped,Thank_You.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.006641708001552615,0.013508832998923026,0.013508832998923026,7.238424458002555,space,6.880516498997167,None,,,,,,,,,,,,,,,01,001,2025-11-12_20h35.48.829,stroop task,,2025.1.1,119.99160155064547,2025-11-12 20h35.55.137548 +0530,
SADNESS,green,I,g,E,0,0,0,g,1,0.9420318330012378,None,0,0,0,9,7.270866124999884,,,,,,,,,7.25794308300101,7.270866124999884,7.737924375003786,7.737924375003786,7.737924375003786,8.68884975000401,g,1,0.9420318330012378,None,,,,,01,001,2025-11-12_20h35.48.829,stroop task,,2025.1.1,119.99160155064547,2025-11-12 20h35.55.137548 +0530,
ANGER,red,C,r,E,1,1,0,r,1,0.9487007909992826,None,0,1,1,6,8.720353292002983,,,,,,,,,8.696002500000759,8.720353292002983,9.187414667001576,9.187414667001576,9.187414667001576,10.138990874998854,r,1,0.9487007909992826,None,,,,,01,001,2025-11-12_20h35.48.829,stroop task,,2025.1.1,119.99160155064547,2025-11-12 20h35.55.137548 +0530,
HAPPINESS,green,I,g,E,2,2,0,g,1,0.7987117500015302,None,0,2,2,15,10.156952875004208,,,,,,,,,10.14855958300177,10.156952875004208,10.637395875004586,10.637395875004586,10.637395875004586,11.438952625001548,g,1,0.7987117500015302,None,,,,,01,001,2025-11-12_20h35.48.829,stroop task,,2025.1.1,119.99160155064547,2025-11-12 20h35.55.137548 +0530,
CALM,blue,C,b,E,3,3,0,b,1,0.7106738329966902,None,0,3,3,18,11.455009541998152,,,,,,,,,11.446189792004589,11.455009541998152,11.937448417003907,11.937448417003907,11.937448417003907,12.655492792000587,b,1,0.7106738329966902,None,,,,,01,001,2025-11-12_20h35.48.829,stroop task,,2025.1.1,119.99160155064547,2025-11-12 20h35.55.137548 +0530,
SUN,green,I,g,N,4,4,0,y,0,0.7508376659970963,None,0,4,4,25,12.668077125003038,,,,,,,,,12.659737166999548,12.668077125003038,13.158326167002087,13.158326167002087,13.158326167002087,13.912428250005178,y,0,0.7508376659970963,None,,,,,01,001,2025-11-12_20h35.48.829,stroop task,,2025.1.1,119.99160155064547,2025-11-12 20h35.55.137548 +0530,
GRASS,green,C,g,N,5,5,0,g,1,0.9348988740021014,None,0,5,5,22,13.925907167002151,,,,,,,,,13.917948792004609,13.925907167002151,14.414315667003393,14.414315667003393,14.414315667003393,15.35559083300177,g,1,0.9348988740021014,None,,,,,01,001,2025-11-12_20h35.48.829,stroop task,,2025.1.1,119.99160155064547,2025-11-12 20h35.55.137548 +0530,
SUN,yellow,C,y,N,6,6,0,y,1,0.738880248994974,None,0,6,6,24,15.36906929199904,,,,,,,,,15.360528249999334,15.36906929199904,15.854298875005043,15.854298875005043,15.854298875005043,16.595530541999324,y,1,0.738880248994974,None,,,,,01,001,2025-11-12_20h35.48.829,stroop task,,2025.1.1,119.99160155064547,2025-11-12 20h35.55.137548 +0530,
PEN,blue,C,b,N,7,7,0,b,1,0.8641409159972682,None,0,7,7,32,16.608092583002872,,,,,,,,,16.60028695800429,16.608092583002872,17.088015708002786,17.088015708002786,17.088015708002786,17.955623417001334,b,1,0.8641409159972682,None,,,,,01,001,2025-11-12_20h35.48.829,stroop task,,2025.1.1,119.99160155064547,2025-11-12 20h35.55.137548 +0530,
LOVE,blue,I,b,E,8,8,0,b,1,0.9810826660032035,None,0,8,8,1,17.971828417001234,,,,,,,,,17.962561792002816,17.971828417001234,18.454033041998628,18.454033041998628,18.454033041998628,19.43911887500144,b,1,0.9810826660032035,None,,,,,01,001,2025-11-12_20h35.48.829,stroop task,,2025.1.1,119.99160155064547,2025-11-12 20h35.55.137548 +0530,
DANGER,blue,I,b,E,9,9,0,b,1,1.2233545830022194,None,0,9,9,11,19.4657758750036,,,,,,,,,19.444194667004922,19.4657758750036,19.937833791998855,19.937833791998855,19.937833791998855,21.162643625000783,b,1,1.2233545830022194,None,,,,,01,001,2025-11-12_20h35.48.829,stroop task,,2025.1.1,119.99160155064547,2025-11-12 20h35.55.137548 +0530,
TREE,red,I,r,N,10,10,0,r,1,1.7190801659962744,None,0,10,10,27,21.175066167001205,,,,,,,,,21.166687917000672,21.175066167001205,21.664253499999177,21.664253499999177,21.664253499999177,23.38928804200259,r,1,1.7190801659962744,None,,,,,01,001,2025-11-12_20h35.48.829,stroop task,,2025.1.1,119.99160155064547,2025-11-12 20h35.55.137548 +0530,
BUS,green,I,g,N,11,11,0,g,1,0.910290416002681,None,0,11,11,37,23.402152082999237,,,,,,,,,23.393724792003923,23.402152082999237,23.888031375005085,23.888031375005085,23.888031375005085,24.806436416998622,g,1,0.910290416002681,None,,,,,01,001,2025-11-12_20h35.48.829,stroop task,,2025.1.1,119.99160155064547,2025-11-12 20h35.55.137548 +0530,
ANGER,yellow,I,y,E,12,12,0,y,1,1.3414962909955648,None,0,12,12,7,24.82119899999816,,,,,,,,,24.811926667003718,24.82119899999816,25.30479841700435,25.30479841700435,25.30479841700435,26.656770708003023,y,1,1.3414962909955648,None,,,,,01,001,2025-11-12_20h35.48.829,stroop task,,2025.1.1,119.99160155064547,2025-11-12 20h35.55.137548 +0530,
PEACE,blue,C,b,E,13,13,0,b,1,0.894971790999989,None,0,13,13,2,26.671743042003072,,,,,,,,,26.662418792002427,26.671743042003072,27.15441795800143,27.15441795800143,27.15441795800143,28.056196417004685,b,1,0.894971790999989,None,,,,,01,001,2025-11-12_20h35.48.829,stroop task,,2025.1.1,119.99160155064547,2025-11-12 20h35.55.137548 +0530,
